VOA Reference,Property Description,Address1,Address2,Address3,Address4,Address5,Post Code,Empty Date
12TOR0032501W,STORE AND PREMISES,Rear Of,25 Addison Road,Toronto,Bishop Auckland,Co Durham,DL14 7RN,20131223
12TOR4768501W,HALL AND PREMISES,Community Centre,Jubilee Street,Toronto,Bishop Auckland,Co Durham,DL14 7RS,20121116
12WES1508501W,LAND USED FOR STORAGE AND PREMISES,Coal Storage Land,Chapel Street,West Auckland,Bishop Auckland,Co Durham,DL14 9HP,20101030
12WES2480501W,TRAINING UNIT,3 East Green,West Auckland,Bishop Auckland,Co Durham,,DL14 9HH,20101217
12WES3124022W,PUBLIC HOUSE AND PREMISES,Prince Of Wales,22 Front Street,West Auckland,Bishop Auckland,Co Durham,DL14 9HW,20140912
12WES3124035W,PUBLIC HOUSE AND PREMISES,Queens Head,35 Front Street,West Auckland,Bishop Auckland,Co Durham,DL14 9HW,20140912
12WES8152076W,STORE AND PREMISES,70A Station Road,West Auckland,Bishop Auckland,Co Durham,,DL14 9EX,20110201
12WES8368501W,RECREATION ROOMS AND PREMISES,Community Centre,11 Sycamore Grove,West Auckland,Bishop Auckland,Co Durham,DL14 9JG,20130801
130146050503,LAND USED FOR STORAGE AND PREMISES,Checkerleazes Farm,Copeland Road,West Auckland,Bishop Auckland,Co Durham,DL14 9NQ,20141218
134550500,PUBLIC HOUSE AND PREMISES,Wheatsheaf Inn,Durham Road,Birtley,Chester Le Street,Co Durham,DH3 2AB,20170323
140290050500,PUBLIC HOUSE AND PREMISES,Trotters Arms,Gordon Lane,Ramshaw Evenwood,Bishop Auckland,Co Durham,DL14 0NP,20141219
140687000100,SURGERY AND PREMISES,1 Stones End,Evenwood,Bishop Auckland,Co Durham,,DL14 9RE,20101022
140838050600,CAMPING BARN AND PREMISES,Witton Castle Camping Barn,Witton-le-Wear,Bishop Auckland,Co Durham,,DL14 0DE,20140327
144500101,GARAGE AND PREMISES,1A Edward Street,Sacriston,Durham,,,DH7 6XE,20000401
160334001602,CAFE AND PREMISES,16 High Green,Gainford,Darlington,Co Durham,,DL2 3DL,20170202
173501000,PUBLIC HOUSE AND PREMISES,The Red Lion,10 Front Street,Chester Le Street,Co Durham,,DH3 3BE,20170103
173507200,SHOP AND PREMISES,72 Front Street,Chester Le Street,Co Durham,,,DH3 3BB,20170113
173508800,SHOP AND PREMISES,88 Front Street,Chester Le Street,Co Durham,,,DH3 3BB,20160901
173509800,SHOP AND PREMISES,98 Front Street,Chester Le Street,Co Durham,,,DH3 3BA,20130213
173509801,PUBLIC HOUSE AND PREMISES,The Attic,98A Front Street,Chester Le Street,Co Durham,,DH3 3BA,20140101
173514400,SHOP AND PREMISES,144 Front Street,Chester Le Street,Co Durham,,,DH3 3AY,
173516001,ADVERTISING RIGHT AND PREMISES,Wrexham Signs at,160 Front Street,Chester Le Street,Co Durham,,DH3 3AY,20080630
173516400,OFFICES AND PREMISES,164 Front Street,Chester Le Street,Co Durham,,,DH3 3AZ,20090718
174007300,SHOP AND PREMISES,73-75 Front Street,Chester Le Street,Co Durham,,,DH3 3BJ,20161011
174010100,BANK AND PREMISES,101 Front Street,Chester Le Street,Co Durham,,,DH3 3BL,20170120
176050000,OFFICES AND PREMISES,Adj Workingmens Club,Front Street,Great Lumley,Chester Le Street,Co Durham,DH3 4JB,20130827
176550500,TAXI OFFICE,Ouston Cabs,Ouston Social Club,R/O Front Street,Perkinsville,Pelton Chester Le Street Co Durham,DH2 1HR,20130131
176553502,STORE AND PREMISES,Ouston Social Club 1st Floor R/O,Front Street,Perkinsville,Pelton,Chester Le Street Co Durham,DH2 1QP,19921101
176652555,TAXI OFFICE AND PREMISES,1A Kingsway Villas,Pelton,Chester Le Street,Co Durham,,DH2 1LY,20081231
178000100,SHOP AND PREMISES,1 Front Street,Sacriston,Durham,,,DH7 6LD,20140704
178001902,SHOP AND PREMISES,19B Front Street,Sacriston,Durham,,,DH7 6JS,20160101
178002900,SHOP AND PREMISES,29 Front Street,Sacriston,Durham,,,DH7 6JS,20160328
178050000,BETTING SHOP AND PREMISES,Betting Office,Front Street,Sacriston,Durham,,DH7 6LE,19900401
178054000,ADVERTISING RIGHT AND PREMISES,J C Decaux 000801,Front Street,Sacriston,Durham,,DH7 6JW,20160701
178057000,PUBLIC HOUSE AND PREMISES,The Village Inn,Front Street,Sacriston,Durham,,DH7 6JW,20070630
184504800,SHOP AND PREMISES,Unit 4,Gibside,Chester Le Street,Co Durham,,DH2 2TT,20150811
200002468798,WORKSHOP AND PREMISES,Workshop R/O Graham House,Dragon Lane,Gilesgate Moor,Durham,,DH1 2XD,20161228
200002821328,STORE AND PREMISES,Store 2,Littleburn Business Centre,Mill Road,Langley Moor,Durham,DH7 8HF,20030423
200002821346,CLUB AND PREMISES,Starrs Bar,5-6 Newhouse Road,Esh Winning,Durham,,DH7 9JU,20161101
200003214925,OFFICES AND PREMISES,27 High Street,Durham,,,,DH1 3UJ,20160909
200003216203,SHOP AND PREMISES,1 South View,Bearpark,Durham,,,DH7 7DE,20161101
200003216244,SHOP AND PREMISES,52 North Road,Durham,,,,DH1 4SF,
200003216298,SHOP AND PREMISES,72 North Road,Durham,,,,DH1 4SQ,20160607
200003216346,CAFE AND PREMISES,88 North Road,Durham,,,,DH1 4SP,20170107
200003216367,SHOP AND PREMISES,12 High Street,Durham,,,,DH1 3UJ,20161229
200003216369,SHOP AND PREMISES,16 High Street,Durham,,,,DH1 3UJ,20160809
200003216540,WORKSHOP AND PREMISES,Units 13 C & D,Bowburn Industrial Estate,Bowburn,Durham,,DH6 5AD,20170424
200003216544,WAREHOUSE AND PREMISES,Unit 12d,Bowburn Industrial Estate,Bowburn,Durham,,DH6 5AD,20170424
200003216598,SHOP AND PREMISES,Unit 4,North Road,Durham,,,DH1 4SH,
200003216598,SHOP AND PREMISES,Unit 4,North Road,Durham,,,DH1 4SH,20170331
200003216627,WORKSHOP AND PREMISES,Block E Units 6 And 7,Abbey Road Industrial Estate,Pity Me,Durham,,DH1 5HB,20151211
200003216633,WAREHOUSE AND PREMISES,D Adams (o),Jubilee House,High Pittington,Durham,,DH6 1PH,20090330
200003216634,WORKSHOP AND PREMISES,Unit 20a,Beehive Workshops,Dragonville,Durham,,DH1 2XL,20170201
200003216690,SHOP AND PREMISES,18 Steetley Terrace,Quarrington Hill,Durham,,,DH6 4QJ,20161006
200003216693,OFFICES AND PREMISES,Office 6 Durham Workspace,Abbey Road,Pity Me,Durham,,DH1 5JZ,20160201
200003216694,STORE AND PREMISES,Unit 1b,Front Street South,Quarrington Hill,Durham,,DH6 4QQ,20160630
200003216696,CLUB AND PREMISES,Klute,Rear Of,21 Elvet Bridge,Durham,,DH1 3AA,20170317
200003216710,WORKSHOP AND PREMISES,Unit 1e,Front Street South,Quarrington Hill,Durham,,DH6 4QQ,20150601
200003216718,WAREHOUSE AND PREMISES,Durham County Council,Bede Terrace,Bowburn,Durham,,DH6 5DS,20161026
200003216755,WORKSHOP AND PREMISES,Studio 4,Fowlers Yard,Back Silver Street,Durham,,DH1 3RA,20170201
200003216785,OFFICES AND PREMISES,Rooms 7 8 & 9,Second Floor,52 Old Elvet,Durham,,DH1 3HN,20160226
